,See the visualisation!,continent,all renewables,Unnamed: 3,excluding hydropower,all renewables 2015,Unnamed: 6,% difference 2015 vs 2020,all electricity generation,all renewables.1,non-hydro renewables,story,story source
0,https://informationisbeautiful.net/visualizations/renewable-energy-and-electricity,0,2020 or latest year,0,0,0,0.0,0,GWh,GWh,GWh,0,https://www.eia.gov/international/data/world/electricity/electricity-generation?pd=2&p=0000000000000000000000000000098&u=1&f=A&v=column&a=-&i=none&vo=value&t=C&g=00000000000000000000000000000000000000000000000001&l=249-ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvvvs&s=1420070400000&e=1577836800000&vb=146&ev=false
1,Afghanistan,Asia,82.8%,82.8%,3.8%,86.1%,0.0,-3.29%,1.1,0.9,0.04,0,0
2,Albania,Europe,100.0%,100.0%,0.4%,100.0%,0.0,0.00%,5.2,5.2,0.02,0,0
3,Algeria,Africa,1.1%,1.1%,0.9%,0.3%,0.0,0.79%,76.7,0.8,0.69,0,0
4,American Samoa,Oceania,0.0%,0.0%,0.0%,0,0.0,0,0.2,0.0,0.00,0,0
5,Angola,Africa,68.2%,68.2%,1.6%,54.5%,0.0,13.72%,13.6,9.2,0.22,0,0
6,Antarctica,Antarctica,0.0%,0.0%,0.0%,0,0.0,0,0.0,0.0,0.00,0,0
7,Antigua & Barbuda,N. America,4.4%,4.4%,4.4%,0,0.0,0,0.3,0.0,0.02,0,0
8,Argentina,S. America,27.1%,27.1%,9.5%,30.7%,0.0,-3.64%,137.8,37.3,13.02,0,0
9,Armenia,Europe,24.6%,24.6%,0.3%,29.6%,0.0,-5.03%,7.3,1.8,0.02,0,0
10,Aruba,S. America,16.0%,16.0%,16.0%,17.8%,0.0,-1.85%,0.9,0.1,0.15,0,0
11,Australia,Oceania,24.6%,24.6%,18.4%,14.4%,0.0,10.23%,243.3,59.9,44.78,0,0
12,Austria,Europe,83.9%,83.9%,20.0%,80.0%,0.0,3.93%,70.9,59.5,14.17,0,0
13,Azerbaijan,Asia,12.3%,12.3%,8.2%,7.8%,0.0,4.47%,26.2,3.2,2.14,0,0
14,Bahrain,Asia,0.0%,0.0%,0.0%,0.0%,0.0,0.03%,31.4,0.0,0.01,0,0
15,Bangladesh,Asia,1.5%,1.5%,0.5%,1.3%,0.0,0.21%,79.6,1.2,0.38,0,0
16,Barbados,N. America,3.9%,3.9%,3.9%,0,0.0,0,1.0,0.0,0.04,0,0
17,Belarus,Europe,3.3%,3.3%,2.2%,1.0%,0.0,2.31%,36.1,1.2,0.80,0,0
18,Belgium,Europe,29.8%,29.8%,28.3%,23.8%,0.0,5.98%,86.3,25.7,24.41,0,0
19,Belize,N. America,52.0%,52.0%,16.5%,95.2%,0.0,-43.24%,0.8,0.4,0.14,0,0
20,Benin,Africa,3.2%,3.2%,3.1%,2.6%,0.0,0.57%,0.2,0.0,0.01,0,0
21,Bermuda,N. America,0.0%,0.0%,0.0%,0,0.0,0,0.6,0.0,0.00,0,0
22,Bhutan,Asia,100.0%,100.0%,0.0%,100.0%,0.0,0.00%,9.0,9.0,0.00,0,0
23,Bolivia,S. America,35.6%,35.6%,5.1%,32.5%,0.0,3.13%,9.6,3.4,0.49,0,0
24,Bosnia & Herzegovina,Europe,37.3%,37.3%,1.8%,36.7%,0.0,0.59%,17.2,6.4,0.32,0,0
25,Botswana,Africa,0.2%,0.2%,0.2%,0.0%,0.0,0.24%,2.1,0.0,0.01,0,0
26,Brazil,S. America,86.0%,86.0%,20.1%,75.0%,0.0,10.96%,622.0,534.7,125.15,9% of its electricity comes from wind. Another 9% from biomass.,0
27,British Virgin Islands,N. America,1.1%,1.1%,1.1%,0,0.0,0,0.1,0.0,0.00,0,0
28,Brunei,Asia,0.0%,0.0%,0.0%,0.1%,0.0,-0.06%,4.6,0.0,0.00,0,0
29,Bulgaria,Europe,21.1%,21.1%,12.2%,18.8%,0.0,2.28%,38.0,8.0,4.65,0,0
30,Burkina Faso,Africa,12.5%,12.5%,6.1%,9.9%,0.0,2.55%,1.7,0.2,0.11,0,0
31,Myanmar,Asia,48.3%,48.3%,0.1%,60.1%,0.0,-11.83%,24.9,12.0,0.02,0,0
32,Burundi,Africa,65.5%,65.5%,3.9%,87.0%,0.0,-21.46%,0.4,0.2,0.01,0,0
33,Cabo Verde,Africa,19.0%,19.0%,19.0%,30.7%,0.0,-11.72%,0.5,0.1,0.09,0,0
34,Cambodia,Asia,50.1%,50.1%,2.2%,47.7%,0.0,2.40%,8.4,4.2,0.18,0,0
35,Cameroon,Africa,64.3%,64.3%,0.7%,77.0%,0.0,-12.67%,8.4,5.4,0.06,0,0
36,Canada,N. America,68.8%,68.8%,8.0%,64.7%,0.0,4.12%,630.2,433.7,50.69,0,0
37,Cayman Islands,N. America,100.0%,100.0%,2.3%,0,0.0,0,0.7,0.7,0.02,0,0
38,Central African Republic,Africa,99.4%,99.4%,0.0%,86.2%,0.0,13.18%,0.2,0.2,0.00,0,0
39,Chile,S. America,48.3%,48.3%,22.3%,44.7%,0.0,3.57%,80.1,38.7,17.89,0,0
40,China,Asia,29.2%,29.2%,11.4%,25.0%,0.0,4.21%,7601.2,2220.5,865.29,0,0
41,Colombia,S. America,67.1%,67.1%,1.4%,69.4%,0.0,-2.30%,69.7,46.8,0.98,0,0
42,Comoros,Africa,0.4%,0.4%,0.0%,3.7%,0.0,-3.31%,0.1,0.0,0.00,0,0
43,Congo Brazzaville,Africa,28.9%,28.9%,0.0%,54.6%,0.0,-25.73%,3.7,1.1,0.00,0,0
44,Congo Kinshasa,Africa,99.9%,99.9%,0.6%,99.8%,0.0,0.15%,9.2,9.2,0.06,0,0
45,Cook Islands,Oceania,25.7%,25.7%,25.7%,0,0.0,0,0.0,0.0,0.01,0,0
46,Costa Rica,N. America,99.8%,99.8%,28.7%,99.1%,0.0,0.71%,11.7,11.6,3.35,0,0
47,Croatia,Europe,59.2%,59.2%,27.2%,68.5%,0.0,-9.32%,10.6,6.3,2.90,0,0
48,Cuba,N. America,4.6%,4.6%,3.9%,4.2%,0.0,0.44%,19.5,0.9,0.77,0,0
49,Cyprus,Europe,13.3%,13.3%,13.3%,9.2%,0.0,4.05%,4.7,0.6,0.63,0,0
50,Czech Republic,Europe,15.6%,15.6%,11.1%,12.1%,0.0,3.49%,75.2,11.7,8.32,0,0
51,Côte d’Ivoire,Africa,24.9%,24.9%,0.9%,0,0.0,0,9.6,2.4,0.08,0,0
52,Denmark,Europe,85.2%,85.2%,85.1%,69.4%,0.0,15.80%,28.5,24.2,24.23,"Majority from bioenergy (energy stored in organic material or sustainable biomass - straw, wood pellets & chips). Nearly two-thirds of the Danish households are supplied with district heating (heat networks).",https://denmark.dk/innovation-and-design/clean-energy
53,Djibouti,Africa,1.7%,1.7%,1.7%,0,0.0,0,0.1,0.0,0.00,0,0
54,Dominica,N. America,23.5%,23.5%,1.3%,25.5%,0.0,-2.02%,0.1,0.0,0.00,0,0
55,Dominican Republic,N. America,10.9%,10.9%,5.4%,12.2%,0.0,-1.28%,18.9,2.1,1.01,0,0
56,Ecuador,S. America,81.2%,81.2%,1.9%,54.1%,0.0,27.07%,31.3,25.4,0.59,0,0
57,Egypt,Africa,9.6%,9.6%,3.0%,8.7%,0.0,0.89%,183.0,17.6,5.46,0,0
58,El Salvador,N. America,71.2%,71.2%,47.0%,58.4%,0.0,12.81%,5.9,4.2,2.79,0,0
59,Equatorial Guinea,Africa,10.6%,10.6%,0.0%,45.9%,0.0,-35.32%,1.1,0.1,0.00,0,0
60,Eritrea,Africa,5.3%,5.3%,5.3%,1.0%,0.0,4.27%,0.5,0.0,0.02,0,0
61,Estonia,Europe,44.2%,44.2%,43.5%,16.5%,0.0,27.69%,5.9,2.6,2.57,0,0
62,Eswatini,Africa,54.6%,54.6%,30.4%,53.6%,0.0,1.01%,0.7,0.4,0.20,0,0
63,Ethiopia,Africa,100.0%,100.0%,4.1%,100.0%,0.0,-0.04%,14.2,14.1,0.59,0,0
64,Falkland Islands,S. America,33.3%,33.3%,33.3%,47.4%,0.0,-14.12%,0.0,0.0,0.01,0,0
65,Faroe Islands,Europe,43.4%,43.4%,16.7%,61.6%,0.0,-18.17%,0.4,0.2,0.06,0,0
66,Fiji,Oceania,57.9%,57.9%,7.0%,46.2%,0.0,11.70%,1.1,0.6,0.08,0,0
67,Finland,Europe,53.2%,53.2%,30.0%,46.3%,0.0,6.92%,67.0,35.7,20.10,0,0
68,France,Europe,23.7%,23.7%,12.0%,16.8%,0.0,6.89%,553.7,131.2,66.36,0,0
69,French Guiana,S. America,50.0%,50.0%,6.0%,59.0%,0.0,-8.98%,1.0,0.5,0.06,0,0
70,French Polynesia,Oceania,32.3%,32.3%,5.9%,36.1%,0.0,-3.77%,0.7,0.2,0.04,0,0
71,Gabon,Africa,58.2%,58.2%,0.4%,45.0%,0.0,13.18%,3.0,1.8,0.01,0,0
72,Gambia,Africa,1.0%,1.0%,1.0%,0,0.0,0,0.3,0.0,0.00,0,0
73,Georgia,Asia,75.9%,75.9%,0.8%,78.9%,0.0,-3.02%,11.0,8.3,0.09,0,0
74,Germany,Europe,48.6%,48.6%,44.0%,31.8%,0.0,16.78%,545.2,264.9,240.10,0,0
75,Ghana,Africa,38.5%,38.5%,0.4%,52.2%,0.0,-13.67%,18.9,7.3,0.07,0,0
76,Gibraltar,Europe,0.0%,0.0%,0.0%,0,0.0,0,0.2,0.0,0.00,0,0
77,Greece,Europe,43.6%,43.6%,35.1%,29.7%,0.0,13.85%,40.6,17.7,14.24,0,0
78,Greenland,N. America,80.2%,80.2%,0.0%,67.7%,0.0,12.51%,0.5,0.4,0.00,Mostly hydro and waste incineration,"https://archive.nordregio.se/en/Publications/Publications-2016/GREEN-GROWTH-IN-NORDIC-REGIONS-50-ways-to-make-/Clean-tech-and-renewable-energy--/The-f/index.html#:~:text=However%2C%20times%20change%20and%2055,of%20the%20towns%20in%20Greenland."
79,Grenada,N. America,1.6%,1.6%,1.6%,0,0.0,0,0.2,0.0,0.00,0,0
80,Guadeloupe,N. America,13.7%,13.7%,13.7%,3.4%,0.0,10.31%,1.6,0.2,0.22,0,0
81,Guam,Oceania,3.8%,3.8%,3.8%,0,0.0,0,1.8,0.1,0.07,0,0
82,Guatemala,N. America,75.4%,75.4%,28.1%,61.7%,0.0,13.73%,12.2,9.2,3.44,0,0
83,Guinea,Africa,63.6%,63.6%,1.0%,50.0%,0.0,13.61%,2.1,1.3,0.02,0,0
84,Guinea-Bissau,Africa,2.4%,2.4%,2.4%,0,0.0,0,0.1,0.0,0.00,0,0
85,Guyana,S. America,2.4%,2.4%,2.4%,0,0.0,0,1.2,0.0,0.03,0,0
86,Haiti,N. America,13.6%,13.6%,0.3%,8.4%,0.0,5.25%,1.0,0.1,0.00,0,0
87,Honduras,N. America,57.5%,57.5%,28.2%,43.6%,0.0,13.95%,11.1,6.4,3.11,0,0
88,Hong Kong,Asia,0.4%,0.4%,0.4%,0.3%,0.0,0.08%,33.1,0.1,0.13,0,0
89,Hungary,Europe,17.9%,17.9%,17.2%,11.6%,0.0,6.30%,33.0,5.9,5.67,0,0
90,Iceland,Europe,100.0%,100.0%,32.4%,100.0%,0.0,-0.02%,18.4,18.4,5.97,"73% from hydropower, 27% from geothermal","https://www.government.is/topics/business-and-industry/energy/#:~:text=Renewable%20energy%20provided%20almost%20100,supplier%20of%20electricity%20in%20Iceland."
91,India,Asia,21.7%,21.7%,11.0%,15.1%,0.0,6.62%,1452.2,315.4,160.40,0,0
92,Indonesia,Asia,17.7%,17.7%,10.9%,11.2%,0.0,6.52%,272.9,48.4,29.74,0,0
93,Iran,Asia,9.4%,9.4%,0.3%,5.4%,0.0,4.03%,304.3,28.7,1.01,0,0
94,Iraq,Asia,2.8%,2.8%,0.1%,3.9%,0.0,-1.14%,90.8,2.5,0.06,0,0
95,Ireland,Europe,42.4%,42.4%,38.7%,29.7%,0.0,12.66%,33.1,14.0,12.81,0,0
96,Israel,Asia,6.3%,6.3%,6.3%,2.0%,0.0,4.30%,68.5,4.3,4.29,0,0
97,Italy,Europe,44.2%,44.2%,26.6%,40.9%,0.0,3.30%,271.9,120.2,72.45,0,0
98,Jamaica,N. America,11.9%,11.9%,8.1%,10.8%,0.0,1.08%,4.2,0.5,0.34,0,0
99,Japan,Asia,25.8%,25.8%,16.3%,17.4%,0.0,8.45%,938.0,242.5,153.30,0,0
100,Jordan,Asia,15.5%,15.5%,15.2%,1.0%,0.0,14.48%,19.5,3.0,2.97,0,0
101,Kazakhstan,Asia,11.1%,11.1%,1.5%,9.3%,0.0,1.83%,102.3,11.4,1.54,0,0
102,Kenya,Africa,88.5%,88.5%,58.8%,88.2%,0.0,0.27%,10.7,9.5,6.30,Kenya is the the largest geothermal producer in Africa (8th largest in world) and has the largest wind farm on the continent. It also boast one of the highest levels of household solar panel ownership in the world.,https://en.wikipedia.org/wiki/Renewable_energy_in_Kenya#Geothermal
103,Kiribati,Oceania,16.2%,16.2%,16.2%,0,0.0,0,0.0,0.0,0.00,0,0
104,Kuwait,Asia,0.1%,0.1%,0.1%,0,0.0,0,70.5,0.1,0.06,0,0
105,Kyrgyzstan,Asia,92.4%,92.4%,0.0%,85.8%,0.0,6.55%,14.8,13.7,0.00,0,0
106,Laos,Asia,64.4%,64.4%,0.3%,96.5%,0.0,-32.11%,30.0,19.3,0.10,0,0
107,Latvia,Europe,66.6%,66.6%,19.2%,51.5%,0.0,15.14%,5.5,3.6,1.05,0,0
108,Lebanon,Asia,3.9%,3.9%,0.6%,2.8%,0.0,1.14%,20.0,0.8,0.13,0,0
109,Lesotho,Africa,100.0%,100.0%,0.2%,100.0%,0.0,0.00%,0.5,0.5,0.00,0,0
110,Liberia,Africa,1.3%,1.3%,1.3%,0,0.0,0,0.3,0.0,0.00,0,0
111,Libya,Africa,0.0%,0.0%,0.0%,0,0.0,0,31.7,0.0,0.01,0,0
112,Lithuania,Europe,71.3%,71.3%,49.5%,48.1%,0.0,23.23%,4.9,3.5,2.41,0,0
113,Macau,Asia,33.6%,33.6%,33.6%,0,0.0,0,0.6,0.2,0.19,0,0
114,Madagascar,Africa,41.3%,41.3%,2.4%,59.7%,0.0,-18.40%,1.9,0.8,0.04,0,0
115,Malawi,Africa,88.8%,88.8%,6.3%,99.1%,0.0,-10.35%,1.6,1.4,0.10,0,0
116,Malaysia,Asia,17.9%,17.9%,1.4%,10.4%,0.0,7.46%,162.8,29.1,2.35,0,0
117,Maldives,Asia,0.4%,0.4%,0.4%,0,0.0,0,0.6,0.0,0.00,0,0
118,Mali,Africa,31.5%,31.5%,2.9%,54.0%,0.0,-22.50%,3.3,1.0,0.10,0,0
119,Malta,Europe,11.5%,11.5%,11.5%,7.9%,0.0,3.59%,2.1,0.2,0.24,0,0
120,Martinique,N. America,6.0%,6.0%,6.0%,0.1%,0.0,5.92%,1.6,0.1,0.10,0,0
121,Mauritius,Africa,24.6%,24.6%,20.9%,23.8%,0.0,0.80%,2.7,0.7,0.57,0,0
122,Mexico,N. America,21.9%,21.9%,14.5%,16.0%,0.0,5.91%,310.1,67.9,44.81,0,0
123,Moldova,Europe,4.9%,4.9%,1.4%,5.6%,0.0,-0.68%,5.8,0.3,0.08,0,0
124,Mongolia,Asia,9.9%,9.9%,8.5%,3.3%,0.0,6.61%,6.5,0.6,0.56,0,0
125,Montenegro,Europe,59.5%,59.5%,8.4%,50.9%,0.0,8.55%,3.5,2.1,0.29,0,0
126,Montserrat,N. America,0.0%,0.0%,0.0%,0,0.0,0,0.0,0.0,0.00,0,0
127,Morocco,Africa,18.2%,18.2%,13.8%,15.7%,0.0,2.49%,37.1,6.7,5.11,0,0
128,Mozambique,Africa,79.5%,79.5%,0.8%,87.0%,0.0,-7.46%,18.0,14.3,0.14,0,0
129,Namibia,Africa,96.0%,96.0%,4.4%,97.9%,0.0,-1.89%,1.0,1.0,0.05,0,0
130,Nauru,Oceania,0.0%,0.0%,0.0%,0,0.0,0,0.0,0.0,0.00,0,0
131,Nepal,Asia,100.0%,100.0%,2.1%,100.0%,0.0,0.00%,4.2,4.2,0.09,0,0
132,Netherlands,Europe,29.1%,29.1%,29.1%,14.7%,0.0,14.43%,118.7,34.6,34.53,0,0
133,Netherlands Antilles,N. America,33.3%,33.3%,33.3%,20.0%,0.0,13.26%,0.9,0.3,0.31,0,0
134,New Caledonia,Oceania,13.5%,13.5%,1.5%,14.4%,0.0,-0.92%,3.0,0.4,0.05,0,0
135,New Zealand,Oceania,81.0%,81.0%,27.4%,80.8%,0.0,0.18%,44.8,36.2,12.26,0,0
136,Nicaragua,N. America,60.0%,60.0%,51.2%,51.6%,0.0,8.42%,4.6,2.8,2.37,0,0
137,Niger,Africa,4.1%,4.1%,4.1%,0.8%,0.0,3.33%,0.6,0.0,0.02,0,0
138,Nigeria,Africa,21.0%,21.0%,0.2%,19.0%,0.0,2.04%,29.3,6.2,0.07,0,0
139,Niue,Oceania,0.0%,0.0%,0.0%,0,0.0,0,0.0,0.0,0.00,0,0
140,North Korea,Asia,85.0%,85.0%,0.1%,73.8%,0.0,11.21%,16.1,13.7,0.02,0,0
141,North Macedonia,Europe,28.6%,28.6%,3.9%,32.7%,0.0,-4.09%,5.0,1.4,0.20,0,0
142,Norway,Europe,99.0%,99.0%,6.7%,98.5%,0.0,0.45%,153.7,152.1,10.37,0,0
143,Oman,Asia,0.0%,0.0%,0.0%,0,0.0,0,36.0,0.0,0.00,0,0
144,Pakistan,Asia,33.8%,33.8%,4.4%,33.0%,0.0,0.75%,120.4,40.6,5.35,0,0
145,Palestinian Territories,Asia,0.0%,0.0%,0.0%,0,0.0,0,0.6,0.0,0.00,0,0
146,Panama,N. America,66.5%,66.5%,8.4%,66.5%,0.0,0.05%,12.5,8.3,1.04,0,0
147,Papua New Guinea,Oceania,20.8%,20.8%,1.0%,23.8%,0.0,-2.97%,4.0,0.8,0.04,0,0
148,Paraguay,S. America,100.0%,100.0%,0.0%,100.0%,0.0,0.00%,48.9,48.9,0.00,0,0
149,Peru,S. America,61.6%,61.6%,5.3%,54.0%,0.0,7.65%,55.5,34.2,2.94,0,0
150,Philippines,Asia,21.8%,21.8%,13.9%,26.5%,0.0,-4.74%,100.9,22.0,14.02,0,0
151,Poland,Europe,20.4%,20.4%,18.4%,14.6%,0.0,5.76%,146.2,29.8,26.85,0,0
152,Portugal,Europe,61.6%,61.6%,34.9%,49.8%,0.0,11.78%,52.2,32.2,18.20,0,0
153,Puerto Rico,N. America,13.9%,13.9%,13.7%,2.2%,0.0,11.75%,19.5,2.7,2.67,0,0
154,Qatar,Asia,0.0%,0.0%,0.0%,0,0.0,0,46.9,0.0,0.01,0,0
155,Reunion,Africa,34.0%,34.0%,15.2%,19.7%,0.0,14.34%,3.2,1.1,0.48,0,0
156,Romania,Europe,47.7%,47.7%,17.7%,41.3%,0.0,6.38%,51.8,24.7,9.16,0,0
157,Russia,Europe/Asia,19.7%,19.7%,0.6%,16.9%,0.0,2.80%,1027.5,202.4,6.37,0,0
158,Rwanda,Africa,48.0%,48.0%,5.6%,50.0%,0.0,-1.97%,1.1,0.5,0.06,0,0
159,Saint Helena,Africa,0.0%,0.0%,0.0%,0,0.0,0,0.0,0.0,0.00,0,0
160,Saint Kitts and Nevis,N. America,3.5%,3.5%,3.5%,3.8%,0.0,-0.27%,0.2,0.0,0.01,0,0
161,Saint Lucia,N. America,0.9%,0.9%,0.9%,0,0.0,0,0.4,0.0,0.00,0,0
162,Saint Pierre and Miquelon,N. America,0.0%,0.0%,0.0%,4.3%,0.0,-4.30%,0.0,0.0,0.00,0,0
163,Saint Vincent/Grenadines,N. America,17.2%,17.2%,0.7%,16.1%,0.0,1.14%,0.1,0.0,0.00,0,0
164,Samoa,Oceania,29.7%,29.7%,0.1%,33.1%,0.0,-3.40%,0.1,0.0,0.00,0,0
165,Sao Tome & Principe,Africa,11.1%,11.1%,0.0%,9.1%,0.0,2.02%,0.1,0.0,0.00,0,0
166,Saudi Arabia,Asia,0.1%,0.1%,0.1%,0.0%,0.0,0.12%,362.4,0.4,0.44,0,0
167,Senegal,Africa,14.3%,14.3%,8.3%,11.1%,0.0,3.24%,5.2,0.7,0.43,0,0
168,Serbia,Europe,31.1%,31.1%,3.5%,28.3%,0.0,2.78%,35.0,10.9,1.23,0,0
169,Seychelles,Africa,1.0%,1.0%,1.0%,2.0%,0.0,-0.99%,0.5,0.0,0.01,0,0
170,Sierra Leone,Africa,91.4%,91.4%,4.8%,62.9%,0.0,28.55%,0.2,0.2,0.01,0,0
171,Singapore,Asia,3.5%,3.5%,3.5%,3.3%,0.0,0.21%,50.3,1.8,1.77,0,0
172,Slovakia,Europe,25.0%,25.0%,8.2%,23.7%,0.0,1.28%,27.8,6.9,2.27,0,0
173,Slovenia,Europe,36.2%,36.2%,4.0%,30.5%,0.0,5.67%,16.3,5.9,0.66,0,0
174,Solomon Islands,Oceania,5.3%,5.3%,5.3%,0,0.0,0,0.1,0.0,0.01,0,0
175,Somalia,Africa,5.0%,5.0%,5.0%,1.4%,0.0,3.57%,0.3,0.0,0.02,0,0
176,South Africa,Africa,7.0%,7.0%,4.5%,2.4%,0.0,4.61%,223.2,15.7,9.98,0,0
177,South Korea,Asia,7.6%,7.6%,6.3%,2.1%,0.0,5.47%,549.9,41.6,34.51,0,0
178,South Sudan,Africa,0.7%,0.7%,0.7%,0.6%,0.0,0.12%,0.6,0.0,0.00,0,0
179,Spain,Europe,46.0%,46.0%,32.9%,36.2%,0.0,9.83%,254.1,117.0,83.63,Onshore & offshore wind power generates 23% of electricity supply,https://aeeolica.org/en/about-wind-energy/faqs/
180,Sri Lanka,Asia,33.2%,33.2%,3.7%,49.8%,0.0,-16.60%,15.3,5.1,0.57,0,0
181,Sudan,Africa,55.2%,55.2%,1.0%,65.7%,0.0,-10.45%,14.3,7.9,0.14,0,0
182,Suriname,S. America,58.2%,58.2%,0.7%,61.3%,0.0,-3.08%,2.4,1.4,0.02,0,0
183,Sweden,Europe,70.1%,70.1%,25.0%,64.7%,0.0,5.42%,158.7,111.3,39.67,0,0
184,Switzerland,Europe,67.4%,67.4%,8.5%,65.4%,0.0,2.04%,68.9,46.5,5.85,0,0
185,Syria,Asia,7.5%,7.5%,0.2%,2.4%,0.0,5.10%,17.1,1.3,0.03,0,0
186,Taiwan,Asia,6.6%,6.6%,4.4%,4.4%,0.0,2.22%,279.1,18.5,12.28,0,0
187,Tajikistan,Asia,93.1%,93.1%,0.0%,98.5%,0.0,-5.45%,20.4,19.0,0.00,0,0
188,Tanzania,Africa,33.5%,33.5%,2.2%,35.3%,0.0,-1.83%,7.4,2.5,0.16,0,0
189,Thailand,Asia,16.7%,16.7%,14.1%,9.0%,0.0,7.72%,176.7,29.5,25.00,0,0
190,The Bahamas,N. America,0.2%,0.2%,0.2%,0,0.0,0,2.1,0.0,0.00,0,0
191,Timor-Leste,Asia,0.0%,0.0%,0.0%,0,0.0,0,0.0,0.0,0.00,0,0
192,Togo,Africa,17.1%,17.1%,0.6%,76.1%,0.0,-59.04%,0.5,0.1,0.00,0,0
193,Tonga,Oceania,0.0%,0.0%,0.0%,0,0.0,0,0.1,0.0,0.00,0,0
194,Trinidad and Tobago,N. America,0.1%,0.1%,0.1%,0,0.0,0,8.6,0.0,0.01,0,0
195,Tunisia,Africa,3.9%,3.9%,3.6%,3.0%,0.0,0.95%,20.5,0.8,0.75,0,0
196,Turkey,Europe/Asia,43.8%,43.8%,17.5%,32.9%,0.0,10.93%,293.8,128.8,51.39,0,0
197,Turkmenistan,Asia,0.0%,0.0%,0.0%,0.0%,0.0,0.00%,21.2,0.0,0.00,0,0
198,Turks and Caicos Islands,N. America,0.0%,0.0%,0.0%,0,0.0,0,0.2,0.0,0.00,0,0
199,U.S. Pacific Islands,Oceania,0.0%,0.0%,0.0%,0,0.0,0,0.5,0.0,0.00,0,0
200,U.S. Virgin Islands,N. America,1.2%,1.2%,1.2%,0,0.0,0,0.6,0.0,0.01,0,0
201,Uganda,Africa,98.9%,98.9%,10.4%,80.8%,0.0,18.08%,5.6,5.5,0.58,0,0
202,Ukraine,Europe,6.5%,6.5%,2.9%,4.6%,0.0,1.86%,136.3,8.8,3.95,0,0
203,United Arab Emirates,Asia,2.7%,2.7%,2.7%,0.2%,0.0,2.55%,129.4,3.6,3.56,0,0
204,United Kingdom,Europe,47.1%,47.1%,44.5%,27.4%,0.0,19.68%,299.5,141.0,133.37,UK is one of the world's leading wind power nations - nearly at quarter of electricity generation comes from turbines.,https://www.theguardian.com/environment/2021/jan/28/uk-electricity-from-renewables-outpaces-gas-and-coal-power
205,United States,N. America,20.9%,20.9%,13.7%,14.0%,0.0,6.91%,4050.8,847.0,555.89,0,0
206,Uruguay,S. America,98.3%,98.3%,48.7%,89.1%,0.0,9.18%,15.8,15.5,7.69,0,0
207,Uzbekistan,Asia,10.8%,10.8%,0.0%,21.5%,0.0,-10.68%,60.2,6.5,0.01,0,0
208,Vanuatu,Oceania,14.9%,14.9%,14.9%,9.1%,0.0,5.76%,0.1,0.0,0.01,0,0
209,Venezuela,S. America,68.4%,68.4%,0.1%,64.9%,0.0,3.50%,105.4,72.1,0.10,0,0
210,Vietnam,Asia,28.2%,28.2%,3.9%,37.9%,0.0,-9.70%,214.1,60.4,8.38,0,0
211,Yemen,Asia,14.6%,14.6%,14.6%,0,0.0,0,3.4,0.5,0.50,0,0
212,Zambia,Africa,87.0%,87.0%,1.4%,97.1%,0.0,-10.14%,16.0,13.9,0.23,0,0
213,Zimbabwe,Africa,66.0%,66.0%,1.8%,54.0%,0.0,11.96%,11.3,7.5,0.20,0,0
